Acceptance_Criterion_ID,Scenario_ID,Use_Case_ID,Function,Acceptance_Criterion
AC-G01-01,SC-G01,,GLOBAL,"If the customer request is written in a language other than German or English, the Copilot assigns CLARIFY."
AC-G01-02,SC-G01,,GLOBAL,The clarification is provided in German and asks the customer to submit the request in German or English.
AC-G02-01,SC-G02,,GLOBAL,"If the request language is supported but the customer intent cannot be identified reliably, the Copilot assigns CLARIFY."
AC-G02-02,SC-G02,,GLOBAL,The clarification asks for the information needed to identify the customer's intent before a supported use case is assigned.
AC-G03-01,SC-G03,,GLOBAL,"If the request language is supported, the customer intent is clear, and no supported MVP use case applies, the Copilot assigns OUT_OF_SCOPE."
AC-G03-02,SC-G03,,GLOBAL,A request belonging to a supported use case is not classified as OUT_OF_SCOPE solely because human handling is required.
AC-G04-01,SC-G04,,GLOBAL,"If a supported use case requires identification of a specific record and the customer-provided identification information is missing or ambiguous, the Copilot assigns CLARIFY."
AC-G04-02,SC-G04,,GLOBAL,The clarification asks for the customer-provided information required to identify the necessary record uniquely.
AC-G04-03,SC-G04,,GLOBAL,"If the customer has provided sufficient information to perform the required OMS lookup, SC-G04 does not apply; an OMS lookup that completes without a technical error but returns no required matching record is handled under SC-G05."
AC-G05-01,SC-G05,,GLOBAL,"If the customer has provided sufficient information and the required source access completes without a technical error, but required approved policy information or verified operational information is unavailable or insufficient, the Copilot assigns ESCALATE."
AC-G05-02,SC-G05,,GLOBAL,SC-G05 applies when an OMS lookup completes without a technical error but returns no required matching record.
AC-G05-03,SC-G05,,GLOBAL,"The escalation includes the customer-request information required to understand the case, any approved policy information and/or verified OMS information successfully obtained and used to process the request, and explicitly identifies the required information or record that is unavailable or insufficient."
AC-G05-04,SC-G05,,GLOBAL,"Missing optional information does not trigger SC-G05 when sufficient grounded information remains available for the applicable handling path, and technical AI, RAG, OMS-access, validation, or processing failures are handled through the Technical Failure Path instead of SC-G05."
AC-G06-01,SC-G06,,GLOBAL,"If sufficient verified OMS information exists and customer-reported operational information materially conflicts with the corresponding verified OMS information, the Copilot assigns ESCALATE."
AC-G06-02,SC-G06,,GLOBAL,The escalation preserves the customer-reported fact and the corresponding verified OMS fact separately and includes other verified OMS information used to evaluate the conflicting fact and applicable approved policy information when that policy is a Data Source of the identified use case.
AC-G06-03,SC-G06,,GLOBAL,"SC-G06 applies only when the verified OMS information required to establish the conflict is sufficient; if required approved or verified information is insufficient, SC-G05 applies instead."
AC-G07-01,SC-G07,,GLOBAL,"If the applicable supported case requires human handling that the Copilot must not perform autonomously, including a delivery investigation required by the Shipping Policy for UC-SH-02 or a withdrawal-, return-, or refund-related declaration or business action, the Copilot assigns ESCALATE."
AC-G07-02,SC-G07,,GLOBAL,"The Copilot does not perform the required delivery investigation and does not register, initiate, approve, modify, perform, or execute a restricted withdrawal-, return-, or refund-related business action; it must not claim that such investigation or action has already been completed."
AC-G07-03,SC-G07,,GLOBAL,"The escalation includes the customer-request information required to understand the case, required verified OMS information for the identified case, and the applicable approved Shipping Policy, Returns Policy, or Refund Policy information required for human handling."
AC-G07-04,SC-G07,,GLOBAL,"SC-G07 applies only after required customer identification information is sufficient, required source access has completed successfully, and SC-G05 and SC-G06 do not apply. For UC-RT-04, Order Management System and Returns Policy are required sources; for UC-RF-04, Order Management System and Refund Policy are required sources. Informational or procedural questions and UC-SH-02 cases that remain within the current expected delivery window do not trigger SC-G07."
AC-G08-01,SC-G08,,GLOBAL,"If the customer asks for supported general policy information or procedural guidance and the applicable approved policy information is available and sufficient, the Copilot assigns ANSWER."
AC-G08-02,SC-G08,,GLOBAL,"The answer is grounded only in the applicable approved Shipping Policy, Returns Policy, or Refund Policy information."
AC-G09-01,SC-G09,,GLOBAL,"If the required specific record is identified and sufficient verified operational status information is available, the Copilot assigns ANSWER."
AC-G09-02,SC-G09,,GLOBAL,"Missing optional operational information does not prevent ANSWER when sufficient core verified status information is available, and unavailable operational details are not invented."
AC-G10-01,SC-G10,,GLOBAL,"If a specific case is identified, the required verified operational information and applicable approved policy information are available and sufficient, and no policy-defined human handling condition under SC-G07 applies, the Copilot assigns ANSWER."
AC-G10-02,SC-G10,,GLOBAL,The answer combines only verified OMS facts required for the request with the applicable approved policy information.
AC-G10-03,SC-G10,,GLOBAL,"The Copilot does not invent remedies or make final legal, business, or financial decisions or approvals for the individual case."
