Scenario_ID,Applicable_Use_Cases,Function,Scenario_Type,Scenario_Name,Input_or_Condition,Expected_Handling,Decision_Sources,Supporting_Context_Sources,Routing_Boundary
SC-G01,Before use-case assignment,GLOBAL,LANGUAGE,Unsupported language,The customer request is written in a language other than German or English.,CLARIFY,Customer Request,Customer Request,Evaluate before intent and use-case routing. The clarification is produced in German and asks the customer to submit the request in German or English.
SC-G02,Before use-case assignment,GLOBAL,INPUT,Ambiguous customer intent,"The customer request is written in a supported language, but the customer intent is too vague or ambiguous to determine reliably which supported use case applies.",CLARIFY,Customer Request,Customer Request,Apply only when the request language is supported but the customer intent cannot be identified reliably. Do not use when the intent is clear but outside the supported MVP scope.
SC-G03,Before use-case assignment,GLOBAL,SCOPE,Unsupported customer request,"The customer request is written in a supported language and the customer intent is clear, but no supported MVP use case applies.",OUT_OF_SCOPE,Customer Request,Customer Request,Apply only when the intent is understood and no supported use case applies. A supported request must not be classified as OUT_OF_SCOPE merely because human handling is required.
SC-G04,All supported use cases requiring identification of a specific record,GLOBAL,IDENTIFICATION,Required customer information missing or ambiguous,"A supported use case is identified, but customer-provided information required to identify the necessary order, item, return, or refund record uniquely is missing or ambiguous.",CLARIFY,Customer Request,Customer Request,"Use only for customer-correctable identification gaps before a reliable OMS lookup can be performed. If the customer has provided sufficient information to perform the required lookup, SC-G04 does not apply. An OMS lookup that completes successfully but returns no required matching record is handled under SC-G05."
SC-G05,All supported use cases requiring approved or verified information,GLOBAL,INFORMATION,Required approved or verified information unavailable or insufficient,"The customer has provided sufficient information to continue processing and the required source access completes without a technical error, but required approved policy information or verified operational information is unavailable or insufficient. This includes an OMS lookup that completes successfully but returns no required matching record.",ESCALATE,Customer Request; applicable Approved Knowledge Base and/or Order Management System according to the identified use case,Customer Request information required to understand the case; any approved policy information and/or verified OMS information successfully obtained and used to process the request; explicit indication of the required information or record that is unavailable or insufficient,"Do not use for missing or ambiguous customer-provided identification information; use SC-G04 instead. Missing optional information does not trigger SC-G05 when sufficient grounded information remains available for the applicable handling path. For UC-SH-02, estimated_delivery_date is business-required only for the non-DELIVERED, non-conflict branch used to determine whether the shipment remains within its current expected delivery window or requires delivery investigation. If shipment_status is not DELIVERED, SC-G06 does not apply, and estimated_delivery_date is unavailable, SC-G05 applies because the delivery-delay handling decision cannot be grounded sufficiently. If OMS confirms shipment_status = DELIVERED while the customer reports non-arrival, SC-G06 applies regardless of whether estimated_delivery_date is available; missing ETA must not route that case to SC-G05. The general 3-business-day delivery target must not be used as a substitute for a missing estimated_delivery_date. Technical source-access failures are handled through the Technical Failure Path. The escalation must include the customer-request context required to understand the case, any grounded information already obtained, and explicitly identify what required information or record is unavailable or insufficient; it must not be a bare escalation."
SC-G06,All supported use cases involving OMS facts,GLOBAL,DATA_CONFLICT,Customer information conflicts with verified system information,"The verified OMS information required to evaluate the reported fact is available and sufficient, but customer-reported operational information materially conflicts with the corresponding verified OMS information.",ESCALATE,Customer Request; Order Management System; applicable approved policy when required by the identified use case,Customer-reported fact and corresponding verified OMS fact preserved separately; other verified OMS information used to evaluate the conflicting fact; applicable approved policy information only when that policy is a Data Source of the identified use case,"Evaluate when sufficient verified OMS information exists to establish a material conflict with the corresponding customer-reported operational fact. For UC-SH-02, if the customer reports non-arrival and OMS confirms shipment_status = DELIVERED, SC-G06 applies regardless of whether estimated_delivery_date is available; ETA is not required to establish this conflict. For UC-SH-03, the use case is identified from the Customer Request when the customer reports that the parcel is shown as delivered but was not received. After OMS retrieval, SC-G06 applies when sufficient verified OMS information establishes a material conflict. This includes OMS confirming DELIVERED while the customer reports non-receipt, and OMS reporting a different shipment_status than the customer-reported shown-as-delivered state. The identified use case remains UC-SH-03; verified OMS facts determine the downstream Scenario and do not reclassify the Use Case. The escalation must preserve both conflicting facts separately and include the available grounded case information; it must not be a bare escalation."
SC-G07,UC-SH-02; UC-RT-04; UC-RF-04,GLOBAL,HUMAN_HANDLING,Case requires human handling,"For UC-SH-02, the required shipment record is identified, shipment_status is not DELIVERED, estimated_delivery_date is available, and the current processing date is after estimated_delivery_date, so the applicable Shipping Policy requires delivery investigation. For UC-RT-04 or UC-RF-04, the customer submits an actual withdrawal declaration or asks support to register, initiate, approve, modify, perform, or otherwise execute a withdrawal-, return-, or refund-related action that the Copilot must not execute autonomously.",ESCALATE,"Customer Request; Order Management System; applicable approved Shipping Policy, Returns Policy, or Refund Policy according to the identified use case","Customer request information required to understand the case; required verified OMS information for the identified case; applicable approved Shipping Policy, Returns Policy, or Refund Policy information required for human handling","Apply only after required customer identification information is sufficient, required source access has completed successfully, SC-G05 has been excluded, and no material customer-versus-OMS conflict requiring SC-G06 exists. For UC-RT-04, Order Management System and Returns Policy are required sources. For UC-RF-04, Order Management System and Refund Policy are required sources. For UC-SH-02, apply when estimated_delivery_date has passed and the shipment is not DELIVERED; this case must not continue to SC-G10. For UC-RT-04 and UC-RF-04, apply when the request requires a human-controlled withdrawal-, return-, or refund-related declaration or action. The Copilot does not perform the required delivery investigation or execute the requested restricted business action and must not claim that such investigation or action has already been completed. The escalation must provide the support employee with the required verified case information and applicable approved policy information needed for human handling; it must not be a bare escalation."
SC-G08,UC-SH-01; UC-RT-01; UC-RT-03; UC-RF-01,GLOBAL,INFORMATION,General policy or procedure information available,The customer asks for supported general policy information or procedural guidance and the applicable approved policy information is available and sufficient to answer the request.,ANSWER,Customer Request; applicable approved policy,"Applicable approved Shipping Policy, Returns Policy, or Refund Policy information used to answer the request","Use only for general policy or procedure questions that do not require assessment of a specific order, item, return, or refund case. If required approved policy information is unavailable or insufficient, SC-G05 applies."
SC-G09,UC-OS-01; UC-RT-05; UC-RF-03,GLOBAL,STATUS,Specific operational status available,"The customer asks about the current status of a specific order, return, or refund; the required record is identified and sufficient verified operational status information is available.",ANSWER,Customer Request; Order Management System; Refund Policy only for UC-RF-03 when required to explain the verified refund status,Verified OMS status information required to answer the request; available optional operational details; Refund Policy only for UC-RF-03 when required to explain the verified refund status,"Missing optional operational information does not prevent ANSWER when sufficient core verified status information is available. If the required record or required verified information is unavailable or insufficient, SC-G05 applies. A material customer-versus-OMS conflict is handled under SC-G06."
SC-G10,UC-SH-02; UC-RT-02; UC-RF-02,GLOBAL,SPECIFIC_CASE,Specific case information sufficient for response,"The customer asks about a specific delivery, return, or refund case; the required record is identified and the required verified operational facts and applicable approved policy information are available and sufficient for a grounded response. For UC-SH-02, shipment_status is not DELIVERED, SC-G06 does not apply, estimated_delivery_date is available, and the current processing date is before or equal to estimated_delivery_date, so the shipment is still within its current expected delivery window.",ANSWER,"Customer Request; Order Management System; applicable approved Shipping Policy, Returns Policy, or Refund Policy according to the identified use case",Verified case facts required to answer the request together with the applicable approved policy information,"Use when both case-specific verified facts and applicable approved policy information are required and sufficient. For UC-SH-02, use SC-G10 only when shipment_status is not DELIVERED, SC-G06 does not apply, estimated_delivery_date is available, and the current processing date is before or equal to estimated_delivery_date. If OMS confirms shipment_status = DELIVERED while the customer reports non-arrival, SC-G06 applies regardless of ETA availability. If estimated_delivery_date has passed and shipment_status is not DELIVERED, SC-G07 applies because delivery investigation is required. If shipment_status is not DELIVERED, SC-G06 does not apply, and estimated_delivery_date is unavailable, SC-G05 applies; the general 3-business-day delivery target must not be used as a substitute. For UC-RT-02, all products represented in the MVP are treated as belonging to the standard modeled withdrawal-right flow. When the relevant item is identified and the required OMS information and Returns Policy information are available and sufficient, SC-G10 applies and the response provides standard approved rules together with verified item facts. The absence of product-category, return-eligibility, or withdrawal-exception fields in OMS does not trigger SC-G05 because those product-specific exception attributes are intentionally outside the MVP data model. The Copilot must not confirm individual statutory eligibility or determine whether a non-modeled statutory exception applies. A material customer-versus-OMS conflict is handled under SC-G06. The Copilot does not invent remedies or make final legal, business, or financial decisions or approvals."
