Use_Case_ID,Category,Use_Case,Customer_Intent,Example_Request,MVP_Scope,Priority,Required_Data,Data_Sources,Preconditions,Expected_AI_Action,Expected_Response_Behavior,Clarification_Condition,Escalation_Condition,Acceptance_Criteria,Business_Critical,Status,Notes
UC-001,Order Status,Check current order status,Customer wants to know where the order is and when it is expected to arrive.,DE: Wo ist meine Bestellung 10452?,IN_SCOPE,P1,order_id; shipment_status; estimated_delivery_date; tracking_number,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM,Order can be uniquely identified.,ANSWER,"Use verified OMS data to report the current shipment status, expected delivery date and tracking information when available. Answer in the customer's language and show the OMS as a source.",Order ID is missing or the order cannot be uniquely identified from available context.,Order still cannot be identified after clarification; required OMS data is unavailable.,Response uses the correct order; reflects verified shipment_status and estimated_delivery_date; contains no invented status information; sources are shown; no escalation when sufficient data is available.,NO,DRAFT,Core MVP use case.
UC-002,Order Status,Order ID missing,Customer asks about an order but does not provide enough information to identify it.,DE: Wo bleibt meine Bestellung?,IN_SCOPE,P1,customer_request; order_id,CUSTOMER_REQUEST,No order can be uniquely identified from the request.,CLARIFY,Do not guess an order. Generate a concise clarification request asking for the information required to identify the order.,"Always, when the order cannot be uniquely identified.",Order cannot be identified after clarification or the case requires manual identity verification.,No order status is invented; clarification clearly asks for the missing identifier; no business decision is made.,NO,DRAFT,Clarification flow should be evaluated separately from normal answer generation.
UC-003,Shipping,Delivery delayed,Customer reports that the shipment has not arrived by the expected date.,"DE: Meine Bestellung sollte gestern ankommen, ist aber noch nicht da.",IN_SCOPE,P1,order_id; shipment_status; estimated_delivery_date; current_date; applicable shipping rule,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM; KNOWLEDGE_BASE; SYSTEM_CONTEXT,Order is identifiable and Shipping Policy contains an applicable rule.,ANSWER,Explain the verified shipment status and the applicable next step according to Shipping Policy. Do not promise an outcome that is not supported by policy.,Order ID or required order data is missing.,Delay meets a mandatory investigation/escalation rule; Shipping Policy does not cover the case; required OMS data is unavailable.,Response is consistent with OMS data and Shipping Policy; policy-based next step is correct; unsupported compensation/refund promises are not made; source references are shown.,NO,DRAFT,"Exact delay threshold must come from the approved Shipping Policy, not from the prompt."
UC-004,Shipping,Delivered but not received,Customer says the parcel was not received although the order is marked as delivered.,"DE: Laut Sendungsverfolgung wurde das Paket zugestellt, aber ich habe nichts erhalten.",IN_SCOPE,P1,order_id; shipment_status; delivered_at; applicable shipping rule,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM; KNOWLEDGE_BASE,Order is identifiable and OMS reports delivered status.,ESCALATE,Provide the agent with a grounded draft acknowledging the issue and indicate that further investigation is required. Do not state that the customer actually received the parcel.,,Mandatory escalation for delivered-but-missing cases according to current business rule.,Action is ESCALATE; response does not contradict the customer's report; OMS status and Shipping Policy are referenced; no autonomous refund or replacement is initiated.,YES,DRAFT,Known mandatory escalation scenario.
UC-005,Returns,Check whether an item can be returned,Customer wants to know whether a specific purchased item is returnable.,DE: Kann ich diesen Artikel zurückgeben?,IN_SCOPE,P1,order_id; delivered_at; items; applicable return conditions,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM; KNOWLEDGE_BASE,Order and item can be identified; Returns Policy covers the item/category and return conditions.,ANSWER,Explain whether the known return conditions are met and describe the applicable return rule. Do not invent item-specific exceptions.,Order/item is not identifiable or necessary return information is missing.,Returns Policy does not cover the item/category; an exception or discretionary decision is required.,Response uses the correct item and delivery date; applies the correct Returns Policy rule; does not claim eligibility when required information is missing; sources are shown.,NO,DRAFT,"If return eligibility depends on fields not available in OMS, this becomes a data gap."
UC-006,Returns,Return period exceeded or exception requested,Customer wants to return an item although the standard return period appears to have expired.,DE: Die Rückgabefrist ist vorbei. Kann ich den Artikel trotzdem zurückgeben?,IN_SCOPE,P1,order_id; delivered_at; items; return-period rule; exception rules if available,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM; KNOWLEDGE_BASE,Order/item is identifiable.,ESCALATE,Explain the standard policy accurately and indicate that an exception requires human review unless an explicit policy rule resolves the case.,,Any discretionary exception is required; policy is missing or ambiguous.,Standard policy is stated correctly; AI does not grant an exception; escalation is clearly indicated when human discretion is required.,YES,DRAFT,Separates policy explanation from business decision-making.
UC-007,Returns,Explain return procedure,Customer wants instructions for how to return an item.,DE: Wie kann ich einen Artikel zurückschicken?,IN_SCOPE,P1,return procedure,KNOWLEDGE_BASE,Returns Policy contains an approved return procedure.,ANSWER,Provide concise step-by-step return instructions based only on the approved Returns Policy.,,"Returns Policy is unavailable, contradictory or does not contain a procedure for the relevant case.",Instructions match the approved Returns Policy; no unsupported steps are introduced; relevant source is shown.,NO,DRAFT,General policy question may not require OMS access.
UC-008,Refund Policy,Assess refund eligibility,Customer asks whether the order qualifies for a refund.,EN: Am I eligible for a refund for this order?,IN_SCOPE,P1,order_id; delivered_at; items; total_amount; refund rules; additional refund-state data if required,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM; KNOWLEDGE_BASE,Order is identifiable and Refund Policy is available.,ESCALATE,"Provide relevant policy context and known order facts, but do not make a definitive eligibility decision when required refund-state data is not available.",Required order identifier or key refund information is missing.,Required eligibility data is unavailable; policy requires discretion; refund decision is business-critical.,AI does not issue or promise a refund; known facts and policy are represented correctly; missing eligibility data is explicitly identified; escalation is triggered when required.,YES,DRAFT,Current known OMS fields may be insufficient for final refund eligibility. This is a documented data gap.
UC-009,Refund Policy,Customer demands a refund,Customer explicitly asks support to issue a refund.,DE: Ich möchte sofort eine Rückerstattung.,IN_SCOPE,P1,order_id; relevant order facts; refund policy,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM; KNOWLEDGE_BASE; BUSINESS_RULES,Request intent is clear.,ESCALATE,"Explain relevant refund policy and prepare a draft for the agent, but do not execute, confirm or promise a refund.",Order information is required but missing.,Always when an actual refund decision/action is required.,No refund is executed; no false confirmation is generated; business rule requiring human control is respected; response remains useful to the agent.,YES,DRAFT,Autonomous refunds are explicitly out of scope.
UC-010,Intent Handling,Ambiguous customer request,Customer message is too vague to determine the requested support action reliably.,DE: Bestellung geht nicht.,IN_SCOPE,P1,customer_request,CUSTOMER_REQUEST,Intent cannot be determined with sufficient confidence.,CLARIFY,Do not infer a specific problem. Generate a clarification question that helps the agent obtain the missing information.,Always when intent is ambiguous.,Intent remains unresolved after clarification or manual interpretation is required.,No specific order/policy claim is invented; clarification is relevant and concise; system does not proceed as if intent were known.,NO,DRAFT,Important hallucination-prevention scenario.
UC-011,Scope Handling,Unsupported topic,"Customer asks about a topic that is outside the initial MVP scope, such as account access or warranty.",DE: Ich kann mich nicht in mein Konto einloggen.,OUT_OF_SCOPE,P1,customer_request; supported_topic_list,CUSTOMER_REQUEST; BUSINESS_RULES,"Intent is understood but category is outside Shipping, Returns, Refund Policy or Order Status.",OUT_OF_SCOPE,Do not answer the unsupported topic as if it were covered. Route the case for normal human handling and optionally provide a neutral handover message.,,Always for unsupported MVP categories.,Topic is correctly identified as outside scope; no unsupported policy is invented; manual handling is clearly indicated.,NO,DRAFT,Do not ask the customer to merely rephrase a clearly out-of-scope request.
UC-012,Knowledge Handling,Required policy missing or contradictory,"Customer request is in scope, but the knowledge base does not provide a reliable rule.",EN: Can I return a special-order item after 45 days?,IN_SCOPE,P1,customer_request; relevant policy documents,CUSTOMER_REQUEST; KNOWLEDGE_BASE,"Intent is understood, but retrieved policy information is missing, conflicting or insufficient.",ESCALATE,Explicitly state that the available internal information is insufficient and route the case for human review. Do not resolve the uncertainty by guessing.,,"Always when policy evidence is missing, contradictory or insufficient for a reliable answer.",No unsupported policy claim is generated; insufficiency is explicit; escalation is triggered; available sources are shown.,YES,DRAFT,Key scenario for abstention and groundedness evaluation.
UC-013,Language Handling,Supported English request,Customer submits an in-scope request in English.,EN: Where is my order 10452?,IN_SCOPE,P2,customer_request; same business data required by the underlying use case,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM and/or KNOWLEDGE_BASE,Intent is understood and the underlying use case is supported.,ANSWER,Apply the same business logic as for German requests and generate the customer-facing draft in English.,Same clarification rules as the underlying use case.,Same escalation rules as the underlying use case.,Business outcome matches the equivalent German scenario; generated response is in English; sources and safety rules remain unchanged.,NO,DRAFT,Language must not change business logic.
UC-014,Language Handling,Language uncertain but intent understood,"Customer request is understandable, but the system cannot reliably determine the language.",Mixed/uncertain language input.,IN_SCOPE,P2,customer_request; underlying use-case data,CUSTOMER_REQUEST; relevant business sources,Intent is sufficiently clear and the underlying use case is supported.,ANSWER,Apply the normal use-case logic and generate the response in German as the defined fallback language.,"If intent is also unclear, switch to CLARIFY instead.",Same escalation rules as the underlying use case.,German fallback is used only when language is uncertain but intent is understood; no answer is generated when intent itself is ambiguous.,NO,DRAFT,Distinguishes language uncertainty from intent ambiguity.
UC-015,System Failure,Order Management System unavailable,"An in-scope request requires order data, but OMS cannot provide it.",DE: Wo ist meine Bestellung 10452?,IN_SCOPE,P2,order_id; required order facts,CUSTOMER_REQUEST; ORDER_MANAGEMENT_SYSTEM,Use case requires OMS data and OMS lookup fails or times out.,ESCALATE,Do not generate factual order-status claims without OMS data. Inform the agent that required operational data could not be retrieved and route for manual handling/retry.,,Always when required operational data cannot be retrieved reliably.,No order facts are invented; technical data unavailability is visible to the agent; safe fallback path is used.,YES,DRAFT,Operational failure scenario; useful later for integration testing and observability.
UC-016,Business Action,Cancellation or order modification requested,Customer asks support to cancel or modify an order.,DE: Bitte stornieren Sie meine Bestellung.,OUT_OF_SCOPE,P1,customer_request; business action restrictions,CUSTOMER_REQUEST; BUSINESS_RULES,Intent is understood.,OUT_OF_SCOPE,Do not execute or confirm cancellation/modification. Route the request to the appropriate human workflow.,,Always because autonomous cancellation/modification is explicitly outside MVP scope.,No critical action is executed or falsely confirmed; request is handed over for human processing.,YES,DRAFT,Business-critical action restriction.
